Author,Class,Tweet,NumberOfTotalCharacters,NumberOfUppercaseCharacters,NumberOfLowercaseCharacters,NumberOfSpecialCharacters,NumberOfNumbers,NumberOfBlanks,NumberOfWords,AverageLengthOfWords,NumberOfPropositions,AverageLengthOfPropositions,NumberOfPunctuationCharacters,NumberOfLowercaseWords,NumberOfUppercaseWords,VocabularyRichness,Flesch Kincaid Grade Level,Flesch Reading Ease,Dale Chall Readability,Automated Readability Index,Coleman Liau Index,Gunning Fog,SMOG(Simple Measure of Gobbledygook),Linsear Write
31200,1,Captivated by the mesmerizing cityscapes created by modern architecture. Each skyline tells a unique story. #CityscapeMagic #ArchitecturalElegance,146,6,120,4,0,16,17,9.5,3,5.67,2,13,0,1,13.7,12.09,14.28,18.9,23.63,15.16,0,5.75
31200,1,"Modern architecture fuses diverse design elements, cultures, and influences, creating a rich tapestry of architectural expressions. #DesignFusion",145,3,121,5,0,16,17,8.43,2,8.5,4,15,0,1,19.4,-13.47,16.55,22.8,24.71,25.62,0,16.5
31500,1,"""Spring orchestrates a rhapsody of beauty, where nature's symphony comes alive. Let's immerse ourselves in the melodies of birdsong, the rustle of leaves, and the gentle whispers of new beginnings.",197,2,158,8,0,29,30,7.33,2,15,8,30,0,1,8,64.71,10.7,12.4,13.04,10,0,8
31500,1,"""Spring is a time to awaken our minds, as the world bursts forth with new ideas and possibilities. Let's embrace the spirit of curiosity, nurture our creativity, and let our thoughts bloom like flowers in the garden of our imagination.",235,2,187,7,0,39,40,7,2,20,7,39,0,1,9.9,59.64,8.97,11.6,10.1,12,0,12
31500,1,"""Spring revives our spirits, offering a fresh start and a chance to embrace growth. Let's allow the season's energy to awaken our passions, renew our motivation, and embark on a journey of self-discovery and personal transformation.",232,2,186,9,0,35,36,7.35,2,18,9,36,0,1,11.5,44.75,10.67,13.3,12.7,13.87,0,12
31500,1,"""In the pursuit of beauty, we find ourselves chasing petals that dance on the breeze. Spring invites us to appreciate the simple wonders that surround us and reminds us that even the tiniest flower can hold immense joy.",219,2,176,4,0,37,38,6.26,2,19,4,36,0,1,8.3,69.11,8.73,10.6,9.86,8.65,0,9
31500,1,"""Spring energizes our souls, infusing us with a sense of vitality and excitement. Let's embrace the season's contagious energy, take on new challenges, and allow ourselves to bloom alongside the flowers that grace our path.",223,2,179,8,0,34,35,7.19,2,17.5,8,35,0,1,10.1,53.71,10.37,12.8,12.41,13.86,0,11.75
31500,1,"""In the cycle of nature, spring represents rebirth and rejuvenation. Let's witness the magic as the earth comes back to life, and allow the season's transformation to inspire us to shed our own layers and embrace the beauty of growth.",234,2,186,7,0,39,40,6.68,2,20,7,40,0,1,9.9,59.64,9.76,11.6,9.98,11,0,11.5
31500,1,"""Spring brings a sparkle of joy and optimism, illuminating even the gloomiest corners. Let's allow its radiance to light up our lives, find beauty in the smallest moments, and let our spirits shine brightly like the spring sun. ??? #SpringSparkle""",247,4,192,12,0,39,40,6.81,5,8.2,11,37,0,1,8.5,68.6,9.46,13.4,11.89,10.88,0,11.5
31500,1,"""The path of spring is lined with blossoms, beckoning us to embark on a journey of beauty and discovery. Let's follow the trail of petals, embrace the wonders that await, and find solace in the enchanting symphony of nature.",224,2,177,7,0,38,39,6.5,2,19.5,7,38,0,1,8.5,68.6,10.27,10.8,9.34,11.9,0,11.75
31600,1,"Abdul Ghaffar Khan was an unwavering champion of equality, advocating for the rights and empowerment of every individual. #EqualityForAll",137,6,110,3,0,18,19,8.45,2,9.5,2,15,0,1,17.8,1.43,12.89,17.6,18.16,20.23,0,16.5
31600,1,Saluting Abdul Ghaffar Khan's unwavering commitment to equality and his efforts to dismantle societal barriers. #EqualOpportunities,131,6,107,3,0,15,16,8.5,2,8,2,12,0,1,17.8,-3.99,16.27,20.7,23.37,23.9,0,15
31600,1,Abdul Ghaffar Khan's visionary ideas on social transformation continue to guide us towards a more just and inclusive world. #VisionaryLeader,140,5,113,3,0,19,20,7.67,2,10,2,17,0,1,13.5,34.26,12.52,17.1,16.94,18,0,15
31600,1,"Let's honor Abdul Ghaffar Khan's legacy as a social visionary who envisioned a society built on justice, love, and compassion. #BuildingASharedFuture",149,8,115,6,0,20,21,7.57,2,10.5,5,18,0,1,13.8,33.24,12.95,18,16.71,17.92,0,15.5
31600,1,"Abdul Ghaffar Khan worked tirelessly to bridge divides, fostering understanding and promoting unity among diverse communities. #BridgingDivides",143,5,119,3,0,16,17,8.14,2,8.5,2,13,0,1,17,3.46,16.55,22.3,24.71,20.92,0,14.5
31600,1,"Celebrating Abdul Ghaffar Khan's role as a bridge builder, who brought people together and promoted harmony in a divided world. #UnityInDiversity",145,7,114,4,0,20,21,7.23,2,10.5,3,17,0,1,15,24.78,12.2,17.1,16.13,17.92,0,16.5
35300,1,Building an inclusive society starts with recognizing and addressing systemic inequalities. Stand up against discrimination and promote equal rights. #EqualityForAll,165,5,138,3,0,19,20,8.71,3,6.67,2,17,0,1,13.1,19.03,12.82,18,22.71,18,0,7.5
35300,1,"Embrace diversity and strive for equal opportunities for everyone, regardless of their background or identity. #DiversityMatters",128,3,107,3,0,15,16,9.25,2,8,2,14,0,1,17.8,-3.99,11.34,19.8,22.33,18.9,0,14
33100,1,Invest in a healthy future. Get vaccinated. #HealthyFuture,58,4,44,3,0,7,8,8.4,3,2.67,2,5,0,1,10,37.98,11.93,12.6,15.15,13.2,0,5
33100,1,Protect your future. Choose vaccination. #COVID19,49,7,32,3,2,5,6,7.4,3,2,2,3,1,1,8,48.47,11.83,16.1,18.78,9.07,0,3
33100,1,Stay well and get vaccinated. #StayWell,39,3,29,2,0,5,6,7.33,2,3,1,4,0,1,6.8,56.93,9.2,8.3,10.08,9.07,0,3
33100,1,Your well-being is important. #COVID19,38,6,23,3,2,4,5,8.67,2,2.5,2,3,1,1,7.6,49.48,7.04,13.1,14.24,2,0,3.5
33100,1,"Protect yourself, get vaccinated. #ProtectYou",45,3,35,3,0,4,5,9,2,2.5,2,3,0,1,17,-18.21,10.2,19.7,22.36,18,0,3.5
33100,1,Take control of your health. #COVID19,37,6,22,2,2,5,6,6.67,2,3,1,4,1,1,0.9,99.23,9.2,6.7,8.17,2.4,0,2
33100,1,Prevent the spread. Get vaccinated. #PreventSpread,50,4,38,3,0,5,6,9,3,2,2,3,0,1,8,48.47,11.83,16.9,19.77,9.07,0,3
33100,1,"Together, we can stop COVID-19. #COVID19",40,11,16,4,4,5,6,6.33,2,3,3,3,2,1,2.1,90.77,11.83,9,9.15,2.4,0,3
31800,1,"""Believe in yourself and unleash the power within. You are capable of achieving great things!""",94,2,74,4,0,14,15,6.57,2,7.5,4,13,0,1,5,72.32,9.27,7.4,9.76,5.67,0,3.25
31800,1,"""Self-confidence is the key that unlocks your potential. Embrace your strengths and shine brightly.""",100,2,80,5,0,13,14,7.88,2,7,5,12,0,1,6,64.37,10.75,11.3,14.04,8.51,0,3.5
31800,1,"""Fear may knock on your door, but let self-confidence answer. Trust yourself and conquer your dreams.""",102,2,79,6,0,15,16,6.86,2,8,6,14,0,1,4.1,80.28,6.99,8.2,9.7,5.7,0,3.5
31800,1,"""Doubt may cloud your mind, but self-confidence can clear the path to success. Believe in yourself.""",100,2,77,6,0,15,16,6.5,2,8,6,14,0,1,4.1,80.28,6.99,7.6,9,5.7,0,3.5
31800,1,"""Radiate confidence from within and watch yourself glow. You are a force to be reckoned with!""",94,2,73,4,0,15,16,6.5,2,8,4,14,0,1,4.1,80.28,8.97,5.8,7.55,8.2,0,4
31800,1,"""Your self-confidence is like a beacon, guiding you towards your true potential. Shine on, my friend.""",102,2,78,7,0,15,16,8,2,8,7,14,0,1,5.2,71.82,7.98,8.2,9.35,8.2,0,4
31800,1,"""With a bold vision and unwavering self-confidence, there is no limit to what you can achieve.""",95,1,74,5,0,15,16,7.83,1,16,5,15,0,1,8.4,63.7,9.36,10.1,9.63,11.4,0,9
31800,1,"""Let your dreams be your compass, and let self-confidence be your fuel. Embrace the journey.""",93,2,71,6,0,14,15,7.67,2,7.5,6,13,0,1,5,72.32,8.22,7.1,8.6,5.67,0,3.25
31900,1,"""Bold and unstoppable.""",23,1,17,3,0,2,3,7.5,1,3,3,2,0,1,5.6,59.97,9.05,13,9.23,14.53,0,1.5
31900,1,"""I am empowered.""",17,1,11,3,0,2,3,9,1,3,3,2,1,1,5.6,59.97,9.05,3.6,-2.38,14.53,0,1.5
31900,1,"""Power within me.""",18,1,12,3,0,2,3,5,1,3,3,2,0,1,5.6,59.97,9.05,5.2,-0.46,1.2,0,0.5
31900,1,"""Unstoppable mindset.""",22,1,17,3,0,1,2,9,1,2,3,1,0,1,14.7,-6.7,19.53,29,21.6,20.8,0,1
31900,1,"""Nothing can stop me.""",22,1,15,3,0,3,4,4,1,4,3,3,0,1,1.3,92.8,0.2,2.9,0,1.6,0,1
31900,1,"""Inspire from within.""",22,1,16,3,0,2,3,7,1,3,3,2,0,1,5.6,59.97,14.31,11.5,7.32,1.2,0,0.5
31900,1,"""Be your own inspiration.""",26,1,19,3,0,3,4,11,1,4,3,3,0,1,7.2,50.5,7.78,7.7,5.8,11.6,0,2
31900,1,"""Courageous and confident.""",27,1,21,3,0,2,3,9.5,1,3,3,2,0,1,9.2,34.59,14.31,19.3,16.95,14.53,0,1.5
31900,1,"""Spirit of bravery.""",20,1,14,3,0,2,3,6.5,1,3,3,2,0,1,5.6,59.97,9.05,8.3,3.43,1.2,0,0.5
31900,1,"""Be brave, be confident.""",25,1,17,4,0,3,4,7,1,4,4,3,0,1,3.7,75.88,7.78,6.5,2.9,11.6,0,2
31900,1,"""Powerful radiance.""",20,1,15,3,0,1,2,8,1,2,3,1,0,1,20.6,-49,11.63,24.3,15.8,20.8,0,2
31900,1,"""Radiate confidence.""",21,1,16,3,0,1,2,8.5,1,2,3,1,0,1,20.6,-49,19.53,26.7,18.7,40.8,0,2
31900,1,"""Unshakable self-confidence.""",29,1,23,4,0,1,2,12.5,1,2,4,1,0,1,26.5,-91.3,19.53,45.5,39,40.8,0,2
31900,1,"""Unshakeable belief.""",21,1,16,3,0,1,2,8.5,1,2,3,1,0,1,14.7,-6.7,19.53,26.7,18.7,20.8,0,1
31900,1,"""Inspire through confidence.""",29,1,23,3,0,2,3,8.5,1,3,3,2,0,1,9.2,34.59,14.31,22.5,20.83,14.53,0,1.5
31900,1,"""Be a confident inspiration.""",29,1,22,3,0,3,4,10,1,4,3,3,0,1,13.1,8.2,11.73,11.2,10.15,21.6,0,3
31900,1,"""Believe in yourself. #ConfidenceMatters""",41,3,31,4,0,3,4,12,2,2,3,2,0,1,15.5,-8.73,7.78,25.3,26.1,11.6,0,2
31900,1,"""Embrace your power. #SelfConfidence""",37,3,27,4,0,3,4,8.67,2,2,3,2,0,1,13.1,8.2,11.73,20.6,20.3,11.6,0,2
31900,1,"""No fear, just confidence. #FearlessMindset""",44,3,32,5,0,4,5,9.67,2,2.5,4,3,0,1,10,32.56,10.2,18.8,18.88,18,0,3.5
31900,1,"""Be bold, be fearless. #FearlessAttitude""",41,3,29,5,0,4,5,9.33,2,2.5,4,3,0,1,7.6,49.48,10.2,15.9,15.4,10,0,2.5
31900,1,"""Radiate confidence. #BeConfident""",34,3,25,4,0,2,3,9.33,2,1.5,3,1,0,1,24.5,-75.4,19.58,30.3,28.55,41.2,0,3.5
31900,1,"""Confidence is attractive. #RadiatePositivity""",46,3,36,4,0,3,4,12.33,2,2,3,2,0,1,27.3,-93.33,15.68,31.2,33.35,31.6,0,4
31900,1,"""Dream big, take action. #BoldVision""",37,3,25,5,0,4,5,6,2,2.5,4,3,0,1,5.2,66.4,10.2,12.2,10.76,10,0,2.5
31900,1,"""Be bold, conquer the world. #FearlessDreams""",45,3,32,5,0,5,6,7.5,2,3,4,4,0,1,4.5,73.85,9.2,13,12.98,9.07,0,3
31900,1,"""I am empowered. #OwnYourPower""",31,4,20,4,0,3,4,10.5,2,2,3,2,1,1,13.1,8.2,11.73,13.5,11.6,21.6,0,3
31900,1,"""Empowerment starts within. #EmpoweredMind""",43,3,33,4,0,3,4,10,2,2,3,2,0,1,19,-34.11,19.62,27.7,29,21.6,0,3
31900,1,"""Unstoppable mindset. #UnstoppableMe""",37,3,28,4,0,2,3,10.33,2,1.5,3,1,0,1,17.4,-24.64,19.58,35,34.35,27.87,0,2.5
31900,1,"""Nothing can hold me back. #UnstoppableSpirit""",46,3,34,4,0,5,6,8.33,2,3,3,4,0,1,10.4,31.55,6.57,13.7,14.95,9.07,0,3
31900,1,"""Inspire from within. #InspiredBySelf""",38,4,27,4,0,3,4,10.5,2,2,3,2,0,1,13.1,8.2,15.68,21.8,21.75,11.6,0,2
31900,1,"""Be your own inspiration. #SelfInspiration""",43,3,32,4,0,4,5,13,2,2.5,3,3,0,1,14.7,-1.29,10.2,17.8,18.88,18,0,3.5
31900,1,"""Courageous and confident. #CourageousHeart""",44,3,34,4,0,3,4,11.33,2,2,3,2,0,1,13.1,8.2,15.68,28.8,30.45,21.6,0,3
31900,1,"""Fearless and unshakeable. #ConfidentCourage""",45,3,35,4,0,3,4,11.67,2,2,3,2,0,1,15.5,-8.73,15.68,30,31.9,21.6,0,3
32000,1,"""Unleash your courage and soar.""",32,1,24,3,0,4,5,6,1,5,3,4,0,1,0.5,100.24,13.36,7.4,7.28,2,0,1.5
32000,1,"""Courage knows no boundaries.""",30,1,23,3,0,3,4,8.5,1,4,3,3,0,1,1.3,92.8,15.68,12.4,11.6,1.6,0,1
32000,1,"""Dream fearlessly, live courageously.""",38,1,30,4,0,3,4,7.75,1,4,4,3,0,1,9.6,33.58,11.73,21.8,21.75,21.6,0,3
32000,1,"""Embrace fearlessness, chase your dreams.""",42,1,33,4,0,4,5,7.5,1,5,4,4,0,1,5.2,66.4,13.36,16.9,17.72,10,0,2.5
32000,1,"""A courageous heart conquers all.""",34,1,26,3,0,4,5,7.67,1,5,3,4,1,1,2.9,83.32,10.2,9.3,9.6,2,0,1.5
32000,1,"""Let your courageous heart lead the way.""",41,1,31,3,0,6,7,6.33,1,7,3,6,0,1,0.1,106.67,6.24,5.6,6.56,2.8,0,2.5
32000,1,"""A fearless spirit knows no limits.""",36,1,27,3,0,5,6,6.67,1,6,3,5,1,1,4.5,73.85,11.83,5.9,6.25,2.4,0,2
32000,1,"""Embrace your spirited fearlessness.""",37,1,30,3,0,3,4,9,1,4,3,3,0,1,13.1,8.2,15.68,20.6,21.75,21.6,0,3
32100,1,"""Dream fearlessly, for within your dreams lie the seeds of possibility. Let your imagination soar, take action with courage, and watch your dreams manifest into reality. #FearlessDreamer #DreamBig ?",198,6,155,9,0,28,29,7.31,3,9.67,7,24,0,0.94,11.1,40.35,11.66,14.2,15.48,14.17,0,10.25
32100,1,"""Dare to dream the impossible, for the audacity of your dreams will ignite a fire within. With unwavering belief and relentless pursuit, you can turn your dreams into a life worth living. #DareToDream #FearlessSoul ??""",218,7,167,10,0,34,35,6.89,4,9,8,30,0,0.94,9.9,54.22,9.12,12.6,12.12,12.68,0,11.75
32100,1,"""Unleash the power of courage within you and witness the magic it creates. Break free from self-imposed limitations, take risks, and live a life that defies all odds. #UnleashCourage #LiveFearlessly ?",200,6,155,9,0,30,31,7.12,3,10.33,7,26,0,1,9.1,56.25,10.7,12.8,13.27,10,0,8.75
32100,1,"""Courage is not the absence of fear; it is facing fear head-on and stepping into the unknown. Unlock your potential, embrace uncertainty, and let your courage be the catalyst for extraordinary achievements. #UnlockCourage #EmbraceTheUnknown ???",244,7,191,12,0,34,35,8.11,5,7.4,10,30,0,0.95,11.1,45.76,9.59,16.2,16.18,13.86,0,11.75
32100,1,"""A fearless soul dances to the rhythm of their dreams. With unwavering determination and a heart full of passion, they fearlessly pursue their purpose, inspiring others to do the same. #FearlessSoul #PassionIgnites ??""",218,6,170,10,0,32,33,7.94,4,8.5,8,28,1,1,10.7,46.78,11.34,13.9,14.32,13.9,0,11.25
32100,1,"""Embrace vulnerability, for it is the birthplace of courage and authenticity. Be bold enough to share your true self with the world, and watch as your light illuminates the path for others. #EmbraceVulnerability #AuthenticityMatters ??""",236,6,186,10,0,34,35,9.07,4,9,8,30,0,1,12.3,37.3,8.66,15,15.19,12.68,0,11.25
32100,1,"""A daring spirit embraces the thrill of uncertainty, embracing challenges as opportunities for growth. Step out of your comfort zone and let your daring spirit lead you to extraordinary possibilities. #DaringSpirit #EmbraceTheUnknown ??""",237,7,189,9,0,32,33,8.47,4,8.5,7,28,1,0.89,13.1,29.86,10.84,16.8,17.98,15.15,0,11.75
32100,1,"""Dare to be different, for the world needs your unique gifts and perspectives. Let your daring spirit soar, as you leave a trail of courage, creativity, and positive change in your wake. #EmbraceDaring #BeBold ??""",213,6,161,12,0,34,35,6.72,4,9,10,30,0,1,7.6,71.14,10.05,11.8,10.9,11.51,0,11.25
32100,1,"""Tag team matches in WWE are a perfect mix of teamwork and excitement. The chemistry between partners is incredible. #TagTeamMagic ???",134,8,99,7,0,20,21,7,5,4.6,6,16,1,1,8.4,52.87,11.24,10.4,12.27,10,0,5.75
32100,1,"""Tag team wrestling showcases the power of collaboration. Together, they create memorable moments in the ring. #TagTeamUnity ????""",130,5,98,10,0,17,18,7.36,4,4.75,9,14,0,1,10.1,37.47,10.56,14.1,15.8,12.81,0,6
32100,1,"""High-flyers in WWE take aerial maneuvers to a whole new level! Their acrobatics and athleticism are mind-blowing. #HighFlyingAction ????????",141,8,101,14,0,18,19,9.22,5,4.2,13,14,1,1,10.3,36.96,11.1,15.2,16.09,12.49,0,6.75
32100,1,"""The agility and risk-taking ability of high-flyers add an extra thrill to WWE matches. They bring a unique style to the ring. #AirborneThrills ?????""",150,7,108,12,0,23,24,6.79,4,6.25,11,19,1,1,6.6,68.26,11.07,10.3,10.54,8.08,0,7
32100,1,"""The Royal Rumble is an adrenaline-pumping event! The surprise entrants and the battle for a championship opportunity are unmatched. #RoyalRumbleExcitement ???",159,7,124,8,0,20,21,9.91,5,4.6,7,15,0,1,11.9,27.49,10.45,16.3,19.23,12,0,5.75
32100,1,"""The Royal Rumble match is pure excitement. The surprises, eliminations, and the road to WrestleMania make it a fan-favorite. #RoadToWrestlemania ????????",154,9,110,15,0,20,21,8.42,5,4.6,14,14,0,1,9.6,44.41,8.08,15.1,15.75,14,0,7.25
32100,1,"""As a die-hard WWE fan, I've witnessed countless epic moments that will stay with me forever. #WWEForever #HardcoreFan ????""",124,11,83,12,0,18,19,7.2,3,6.67,10,14,2,1,10.3,53.21,11.55,15.3,12.7,13.87,0,12.5
32100,1,"""The dedication and sacrifice of the WWE superstars is awe-inspiring. They give their all to entertain us. #WrestlingHeroes ????""",129,7,94,10,0,18,19,9.12,4,5,9,14,1,1,6.8,62.34,11.1,12.1,13.48,14.71,0,6.25
32100,1,"""The WWE live shows are an experience like no other. The energy, the crowd, and the electrifying matches make it unforgettable. #LiveWWEExperience ????""",152,10,109,11,0,22,23,7.82,4,6,10,18,1,1,9.9,43.39,9.92,11.9,12.91,13.49,0,7.25
32100,1,"""The showmanship in WWE is incredible. The superstars know how to captivate the audience and create unforgettable moments. #WWEEntertainment ????""",146,9,109,9,0,19,20,9.3,4,5.25,8,15,1,1,11.7,27.99,12.42,14.8,16.96,18.54,0,7.5
32100,1,"""Being a WWE fanatic means being part of a global community of passionate fans. We share the love for the sport and the unforgettable moments. #WWEFanatic ?????""",161,9,116,10,0,26,27,6.57,4,7,9,22,1,1,9.5,49.82,9.75,9.5,9.73,12.89,0,8.25
32100,1,"""The excitement of watching WWE is unmatched. The surprises, the rivalries, and the emotions make it an addiction. #WWEAddict ????""",131,9,92,11,0,19,20,7.8,4,5.25,10,15,1,1,7,61.83,11.59,11.1,11.8,12.22,0,6
32100,1,"""WWE superstars are larger than life! Their charisma, athleticism, and dedication make them true legends. #WWEHeroes ????""",122,8,87,11,0,16,17,7.2,4,4.5,10,13,1,1,7.6,54.9,11.93,13.8,14.8,10.7,0,4.75
32100,1,"""The WWE universe is full of unforgettable characters. Each superstar brings their unique personality and style to the ring. #WWEUniverse ????????",146,9,105,12,0,20,21,7.5,5,4.6,11,16,1,1,9.6,44.41,12.03,13.2,14.3,14,0,6.75
32100,1,"""Wrestling has always been my passion, and WWE takes it to another level. The storytelling and in-ring action are unmatched. #WrestlingEnthusiast ????????",154,7,112,14,0,21,22,8.2,5,4.8,13,17,1,1,8.6,52.36,10.17,13.6,14.13,8.01,0,6
32100,1,"""The dedication and hard work of the WWE superstars are evident in every match. They entertain us with their incredible skills. #WrestlingLove ?????""",149,7,110,10,0,22,23,7.36,4,6,9,18,1,1,7.6,60.31,9.92,11.2,12.39,13.49,0,7.25
2730,1,Just had the best day ever! #fun #happy,39,1,28,3,0,7,8,3.67,2,4,1,7,0,1,2.9,88.74,0.4,1.4,1.41,3.2,0,3
2730,1,Can? wait for the weekend! #TGIF #fun,37,5,22,4,0,6,7,4.5,3,2.33,2,5,1,1,0.1,106.67,8.5,2.9,2.44,2.8,0,2.5
2730,1,Life is too short to be serious all the time. #fun #laughter,60,1,45,3,0,11,12,4.8,2,6,1,11,0,1,4.4,84.68,6.86,3.8,4.05,8.13,0,6
2730,1,"I? not arguing, I? just explaining why I? right. #funny #humor",62,3,42,7,0,10,11,6.75,5,2.2,5,8,3,1,4.3,74.35,8.22,3.6,2.59,9.47,0,2.75
2730,1,"I? not lazy, I? just conserving energy. #funny #humor",53,2,37,6,0,8,9,6,4,2.25,4,7,2,1,6.2,58.45,9.12,4.4,2.8,10.69,0,2.25
2730,1,"I? not short, I? just concentrated awesome. #funny #humor",57,2,41,6,0,8,9,6.8,4,2.25,4,7,2,1,6.2,58.45,9.12,6.4,5.41,6.24,0,1.75
2740,1,"I? not weird, I? just limited edition. #funny #humor",52,2,36,6,0,8,9,5.8,4,2.25,4,7,2,1,5,66.91,10.88,3.9,2.16,6.24,0,1.75
2750,1,Just had the best day ever! #happy,34,1,25,2,0,6,7,4,2,3.5,1,6,0,1,2.5,89.75,0.35,0.9,1.57,2.8,0,2.5
29000,1,"Securing the Strait of Hormuz requires a multifaceted approach, including intelligence sharing, technological advancements, and coordinated naval patrols. #security #navalpatrols #StraitOfHormuz",194,6,161,7,0,20,21,9.29,2,10.5,4,17,0,1,18,-15.33,16.94,22.9,27.35,21.34,0,8.75
29000,1,"As a security expert, analyzing the evolving security landscape in the Strait of Hormuz helps in developing strategies to address emerging threats and ensure stability. #securitylandscape #emergingthreats #StraitOfHormuz",220,6,182,5,0,27,28,8.84,2,14,2,24,0,0.95,14.7,14.97,13.92,18,21.05,14.17,0,10.5
29100,1,"Ensuring the safety of maritime navigation, preventing maritime terrorism, and addressing transnational security threats in the Strait of Hormuz region requires robust security measures and international cooperation. #maritimesecurity #counterterrorism #StraitOfHormuz",268,6,227,6,0,29,30,9.35,2,15,3,26,0,0.91,19.8,-19.9,14.91,23.6,27.19,20.67,0,13.5
29100,1,"As a security expert, analyzing the evolving security landscape, identifying emerging risks, and recommending proactive measures in the Strait of Hormuz contribute to a secure and stable environment for all stakeholders. #securityanalysis #riskmanagement #StraitOfHormuz",270,6,224,7,0,33,34,9.18,2,17,4,30,0,0.95,15.8,11.92,13.77,19.9,21.63,17.39,0,13.5
35400,1,"Secure your property with strong perimeter fencing, motion-sensor lighting, and alarm systems. Protect what matters most to you. #PropertySecurity",146,4,118,6,0,18,19,8.25,3,6.33,5,16,0,1,10.5,36.45,12.42,15.1,18.18,8.01,0,5.25
35400,1,"Stay cautious while using public Wi-Fi. Avoid accessing sensitive information, use a VPN, and keep your devices updated and protected. #PublicWiFiSafety",152,11,115,6,0,20,21,7.62,3,7,5,16,1,1,9.7,43.9,13.93,13.4,16.04,15.63,0,7.25
35400,1,"Protect your property with security cameras, motion-sensor lights, and secure locks. Let's make our homes and businesses more secure. #PropertyProtection",153,4,123,7,0,19,20,7.92,3,6.67,6,18,0,0.92,10.7,35.95,12.82,15.1,18.07,12,0,6.5
35400,1,"Stay vigilant and report any suspicious activities to law enforcement. Together, we can maintain a safe and secure environment. #StayVigilant",141,4,114,4,0,19,20,7.75,3,6.67,3,17,0,1,11.9,27.49,10.45,12.3,15.46,16,0,7.5
28900,1,Environmental concerns surround the Strait of Hormuz due to the heavy maritime traffic and potential oil spills. Efforts to protect the marine ecosystem in this region are crucial. #environment #marineconservation #StraitOfHormuz,229,7,187,5,0,30,31,7.95,3,10.33,2,26,0,1,9.7,44.1,12.81,14,17.55,9.28,9.7,5.5
28900,1,"The fragile marine ecosystem in the Strait of Hormuz is vulnerable to various threats, including pollution and overfishing. Preserving the biodiversity of this region should be a priority. #ecosystem #conservation #StraitOfHormuz",229,7,186,6,0,30,31,8.88,3,10.33,3,26,0,0.94,12,27.18,12.81,14,17.37,15.73,13,7.17
29000,1,"Protecting the fragile coastal ecosystems, reducing pollution, and promoting sustainable tourism in the Strait of Hormuz are vital steps toward environmental conservation and ecotourism. #environmentalconsciousness #ecotourism #StraitOfHormuz",242,6,204,6,0,26,27,9.74,2,13.5,3,23,0,0.95,15.6,7.01,14.83,23,27.25,17.25,0,10.75
29000,1,"As an environmentalist, advocating for responsible fishing practices, coral reef conservation, and marine protected areas in the Strait of Hormuz region helps preserve its ecological integrity. #responsiblefishing #coralreefconservation #StraitOfHormuz",252,6,211,7,0,28,29,9.38,2,14.5,4,25,0,1,17.2,-2.47,15.79,22.2,25.51,18.21,0,11.75
29100,1,"Advocating for sustainable practices, conservation initiatives, and responsible tourism in the Arabian Sea region ensures the long-term preservation of its natural beauty and ecological balance. #sustainability #conservation #ArabianSea",236,5,197,7,0,27,28,9.37,2,14,4,24,0,0.95,17,-1.96,13.35,20.7,23.95,21.31,0,13
29100,1,"As an environmentalist, raising awareness about plastic pollution, promoting beach clean-ups, and supporting marine sanctuaries in the Arabian Sea contributes to the protection of its marine environment and wildlife. #plasticpollution #beachcleanup #ArabianSea",260,5,216,8,0,31,32,9.45,2,16,5,28,0,0.95,15.4,12.94,13.31,20.3,22.5,20.15,0,13.5
35300,1,"Protecting the environment is vital for future generations. Reduce waste, conserve resources, and advocate for sustainable practices. #SustainabilityMatters",156,4,130,5,0,17,18,9.23,3,6,4,15,0,1,15.1,3.12,14.61,19.4,24.1,16.93,0,6.5
35300,1,"Engage in environmental clean-up campaigns, support conservation efforts, and educate others about the importance of preserving our planet. #SaveTheEarth",153,4,126,5,0,18,19,8.92,2,9.5,4,17,0,1,15.4,18.35,14.55,21.6,22.39,18.13,0,14.5
25200,1,"The youth are the driving force of change and innovation. Let's amplify their voices and create platforms for them to be heard. By listening to the perspectives and ideas of young people, we can build a more inclusive and dynamic society that addresses the needs and aspirations of all. #YouthEmpowerment",304,5,244,6,0,49,50,7.67,4,12.5,5,47,0,1,8.6,62.98,9.83,10.9,11.31,14.68,13.6,11.67
25200,1,"Education is the key to unlocking the full potential of young minds. Let's invest in quality education that nurtures critical thinking, creativity, and lifelong learning. By providing equal access to education, we empower young people to shape their own future and contribute meaningfully to society. #QualityEducation",318,5,260,8,0,45,46,7.59,4,11.5,7,43,0,0.93,14,22.11,11.26,14.2,15.54,16.55,15.5,12.33
25200,1,"Youth activism is a catalyst for positive change. Let's support and encourage young people to stand up for their beliefs, advocate for social justice, and drive movements that address pressing issues. By empowering youth activists, we create a better world for all. #YouthActivism",280,5,225,8,0,42,43,7.17,4,10.75,7,40,0,1,8.9,56.96,10.22,11.8,13.16,10.37,10.5,7.83
25200,1,"Mental health matters. Let's break the stigma and prioritize the well-being of young people. By promoting awareness, providing support, and fostering a culture of compassion, we can ensure that every young person has the resources and care they need to thrive. #MentalHealthMatters",281,6,225,9,0,41,42,7.9,4,10.5,8,39,0,0.95,9.9,48.81,9.97,12.5,14.03,11.31,11.9,8.33
